"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TZFTDZVP","journalArticle","1994","Broome, John","Reply to Kolm","Social Choice and Welfare","","1432-217X","10.1007/BF00193805","https://doi.org/10.1007/BF00193805","This paper mentions some of the points of agreement between Serge-Christophe Kolm and me, and explains the one point of disagreement. It also explains why I concentrated on this one point.","1994-07-01","2024-04-01 09:43:14","2024-04-01 09:43:14","","199-201","","3","11","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66YVUVFG","journalArticle","2012","Lambert, Peter J.","An interview with Serge-Christophe Kolm","Social Choice and Welfare","","1432-217X","10.1007/s00355-010-0518-x","https://doi.org/10.1007/s00355-010-0518-x","","2012-01-01","2024-04-01 16:22:11","2024-04-01 16:22:11","","59-83","","1","38","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZAQF56KF","journalArticle","2012","Frey, Bruno S.; Stutzer, Alois","The use of happiness research for public policy","Social Choice and Welfare","","1432-217X","10.1007/s00355-011-0629-z","https://doi.org/10.1007/s00355-011-0629-z","Research on happiness tends to follow a “benevolent dictator” approach where politicians pursue people’s happiness. This paper takes an antithetic approach based on the insights of public choice theory. First, we inquire how the results of happiness research may be used to improve the choice of institutions. Second, we show that the policy approach matters for the choice of research questions and the kind of knowledge happiness research aims to provide. Third, we emphasize that there is no shortcut to an optimal policy maximizing some happiness indicator or social welfare function since governments have an incentive to manipulate this indicator.","2012-04-01","2024-04-01 16:23:43","2024-04-01 16:23:43","","659-674","","4","38","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5L8CMV3C","journalArticle","1996","Harsanyi, John C.","Utilities, preferences, and substantive goods","Social Choice and Welfare","","1432-217X","10.1007/s003550050057","https://doi.org/10.1007/s003550050057","People’s utility levels are meant to be measures of their well-being. Early utilitarians defined them in terms of people’s happiness. Modern economics defines them in terms of people’s actual preferences. But in ethics they have to be defined in terms of people’s informed preferences. I shall discuss the relationship between people’s desires and preferences, and that between their reasoned and unreasoned preferences. I shall argue that people’s basic desires are much the same, whereas their preferences are often very different. Finally, I shall argue, contrary to Scanlon’s theory, that the things that are good for us are beneficial to us ultimately because they satisfy our biological and psychological needs and our personal interests.","1996-12-01","2024-04-01 16:24:47","2024-04-01 16:24:47","","129-145","","1","14","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72JEHXIK","journalArticle","2004","Barrett, Richard; Petron-Brunel, Anne; Salles, Maurice","A new approach to rights in social choice theory which incorporates utilitarianism","Social Choice and Welfare","","1432-217X","10.1007/s00355-003-0274-2","https://doi.org/10.1007/s00355-003-0274-2","The paper axiomatises a generalised utilitarian aggregation rule, under which different weights are assigned to utilities depending on the different rights involved. The relationship between actions, rights and the evaluation of utilities is investigated. Application is made to a famous example, Edwin-Angelina-the Judge, which appears in the social choice literature.","2004-02-01","2024-04-01 16:25:50","2024-04-01 16:25:50","","17-28","","1","22","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNQTKJ6X","journalArticle","2001","Ng, Siang; Ng, Yew-Kwang","Welfare-reducing growth despite individual and government optimization","Social Choice and Welfare","","1432-217X","10.1007/s003550000081","https://doi.org/10.1007/s003550000081","In the presence of substantial relative-income effects and environmental disruption effects, economic growth may be welfare-reducing even if each and all individuals are optimizing and eagerly trying to make more money and the government also maximizes the welfare of individuals by the choice of income-tax rate and the ratio devoted to the abatement of environmental disruption. Welfare-reducing growth may be avoided if environmental disruption may be directed taxed at low costs and/or government spending on public goods is not environmentally disruptive.","2001-07-01","2024-04-01 16:26:49","2024-04-01 16:26:49","","497-506","","3","18","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZRTS9Z2","journalArticle","2009","Pivato, Marcus","Twofold optimality of the relative utilitarian bargaining solution","Social Choice and Welfare","","1432-217X","10.1007/s00355-008-0313-0","https://doi.org/10.1007/s00355-008-0313-0","Given a bargaining problem, the relative utilitarian (RU) solution maximizes the sum total of the bargainer’s utilities, after having first renormalized each utility function to range from zero to one. We show that RU is “optimal” in two very different senses. First, RU is the maximal element (over the set of all bargaining solutions) under any partial ordering which satisfies certain axioms of fairness and consistency; this result is closely analogous to the result of Segal (J Polit Econ 108(3):569–589, 2000). Second, RU offers each person the maximum expected utility amongst all rescaling-invariant solutions, when it is applied to a random sequence of future bargaining problems generated using a certain class of distributions; this is recalls the results of Harsanyi (J Polit Econ 61:434–435, 1953) and Karni (Econometrica 66(6):1405–1415, 1998).","2009-01-01","2024-04-01 16:27:58","2024-04-01 16:27:58","","79-92","","1","32","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S87A3JHP","journalArticle","2017","Yamamura, Hirofumi","Interpersonal comparison necessary for Arrovian aggregation","Social Choice and Welfare","","1432-217X","10.1007/s00355-017-1048-6","https://doi.org/10.1007/s00355-017-1048-6","While studies of social welfare functionals have shown that some interpersonal comparability such as ordinal and level comparability and cardinal and unit comparability resolves Arrow’s impossibility theorem, the kind of information necessary to solve this issue remains unclear. To address this shortcoming in the body of knowledge on this topic, the present study captures and then characterizes the features of informational structures that make available social welfare functionals satisfying Strong Pareto, Anonymity, and Independence of Irrelevant Alternatives. We know from this characterization that if utility levels are not interpersonally comparable, then transformed utility functions by a certain transformation need to be cardinal and unit comparable.","2017-06-01","2024-04-01 16:33:36","2024-04-01 16:33:36","","37-64","","1","49","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FYG9UPV","journalArticle","1990","Segerstrom, P. S.","Moral efficiency","Social Choice and Welfare","","1432-217X","10.1007/BF01560578","https://doi.org/10.1007/BF01560578","This paper presents a new criterion for social choice which goes beyond pure efficiency considerations. Members of society are required to evaluate public policies impartially by putting themselves in other people's shoes. The impartial preferences that are constructed by means of these thought-experiments are used to rule out some unfair Pareto efficient public policies from consideration. Implications of this “moral efficiency” criterion are illustrated using a pure exchange society, a simple production society with redistributive income taxation and a medical research society. The relationship between the moral efficiency criterion and alternative theories of social choice is also discussed.","1990-04-01","2024-04-01 16:35:44","2024-04-01 16:35:44","","109-129","","2","7","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EI77RZT2","journalArticle","1993","Weymark, John A.","Harsanyi's Social Aggregation Theorem and the Weak Pareto Principle","Social Choice and Welfare","","1432-217X","10.1007/BF00182506","https://doi.org/10.1007/BF00182506","Harsanyi's Social Aggregation Theorem is concerned with the aggregation of individual preferences defined on the set of lotteries generated from a finite set of basic prospects into a social preference. These preferences are assumed to satisfy the expected utility hypothesis and are represented by von Neumann-Morgenstern utility functions. Harsanyi's Theorem says that if Pareto Indifference is satisfied, then the social utility function must be an affine combination of the individual utility functions. This article considers the implications for Harsanyi's Theorem of replacing Pareto Indifference with Weak Pareto.","1993-07-01","2024-04-01 16:36:46","2024-04-01 16:36:46","","209-221","","3","10","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39CUT27W","journalArticle","2013","Ahlert, Marlies; Funke, Katja; Schwettmann, Lars","Thresholds, productivity, and context: an experimental study on determinants of distributive behaviour","Social Choice and Welfare","","1432-217X","10.1007/s00355-012-0652-8","https://doi.org/10.1007/s00355-012-0652-8","In our questionnaire experiment we confronted students of economics, law and medicine with distributive situations in different contexts characterised by two features inspired by medical decision problems: First, individual threshold values indicate minimal amounts needed by potential recipients of the given resource to obtain positive benefits. Second, recipients differ with respect to their ability to benefit from the given quantity, which indicates the productivity of the resource. Allocations offered in the questionnaire are theoretically grounded. However, respondents were also able to make their own proposals. Well-known allocation rules, but also new procedures, were witnessed. Two multistage principles were most prominent: After distributing all minimal amounts, in a second step one aims for resource-equality while the other principle in the second step demands the maximisation of the sum of payoffs. Besides threshold values and productivity, the acceptance of different principles also depended on the field of study, the degree of scarcity of the resources and the sequential order of situations.","2013-04-01","2024-04-01 16:37:41","2024-04-01 16:37:41","","957-984","","4","40","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3J66EWXI","journalArticle","2006","Bavetta, Sebastiano; Peragine, Vitorocco","Measuring autonomy freedom","Social Choice and Welfare","","1432-217X","10.1007/s00355-005-0027-5","https://doi.org/10.1007/s00355-005-0027-5","In the measurement of autonomy freedom, the admissible potential preference relations are elicited by means of the concept of ‘reasonableness’. In this paper we argue for an alternative criterion based on information about the decision maker’s ‘awareness’ of his available opportunities. We argue that such an interpretation of autonomy fares better than that based on reasonableness. We then introduce some axioms that capture this intuition and study their logical implications. In the process, a new measure of autonomy freedom is characterized, which generalizes some of the measures so far constructed in the literature.","2006-01-01","2024-04-01 16:42:05","2024-04-01 16:42:05","","31-45","","1","26","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HD6Q5D2X","journalArticle","2004","Sugden, Robert","Living with unfairness: The limits of equal opportunity in a market economy","Social Choice and Welfare","","1432-217X","10.1007/s00355-003-0283-1","https://doi.org/10.1007/s00355-003-0283-1","Equality of opportunity is often presented as a criterion which reconciles egalitarianism with principles of freedom and responsibility. This paper distinguishes between the principle of ‘starting-line equality’, which requires that everyone’s initial opportunities, assessed in relation to what is publicly known ex ante, are equal, and the principle that equal efforts should yield equal ex post rewards. It argues that the first principle is compatible with allocation of resources through markets but, because of the division of knowledge, the second is not. If we want the opportunities which markets give us, we have to accept ex post unfairness.","2004-02-01","2024-04-01 16:43:13","2024-04-01 16:43:13","","211-236","","1","22","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWTI3YHN","journalArticle","2003","Chavas, Jean-Paul; Coggins, Jay","On fairness and welfare analysis under uncertainty","Social Choice and Welfare","","1432-217X","10.1007/s003550200176","https://doi.org/10.1007/s003550200176","This paper investigates the role of fairness, uncertainty, and a “veil of ignorance” in efficient resource allocation. It focuses on the choice of private and public goods, the method of financing, as well as the choice of information available for public decision-making. A fair-equivalent and Pareto efficient allocation is presented using a maximin criterion defined in terms of individual willingness-to-pay. The paper investigates the role of information in public decision making in terms of its implications for both efficiency and fairness. While better information typically generates improved efficiency, it can also contribute to unfair allocations. The effects of asymmetric information are discussed.","2003-03-01","2024-04-01 16:46:34","2024-04-01 16:46:34","","203-228","","2","20","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYPWBV8Z","journalArticle","2018","Sun, Ching-jen","The bargaining correspondence: when Edgeworth meets Nash","Social Choice and Welfare","","1432-217X","10.1007/s00355-018-1119-3","https://doi.org/10.1007/s00355-018-1119-3","A new, more fundamental approach is proposed to the classical bargaining problem. The give-and-take feature in the negotiation process is explicitly modelled under the new framework. A compromise set consists of all allocations a player is willing to accept as agreement. We focus on the relationship between the rationality principles (arguments) adopted by players in making mutual concessions and the formation of compromise sets. The bargaining correspondence is then defined as the intersection of players’ compromise sets. We study the non-emptiness, symmetry, efficiency and single-valuedness of the bargaining correspondence, and establish its connection to the Nash solution. Our framework provides a rational foundation to Nash’s axiomatic approach.","2018-08-01","2024-04-01 16:47:20","2024-04-01 16:47:20","","337-359","","2","51","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLCQVV9R","journalArticle","2006","Heyd, David; Segal, Uzi","Democratically Elected Aristocracies","Social Choice and Welfare","","1432-217X","10.1007/s00355-006-0109-z","https://doi.org/10.1007/s00355-006-0109-z","The article suggests a formal model of a two-tier voting procedure, which unlike traditional voting systems does not presuppose that every vote counts the same. In deciding a particular issue voters are called in the first round to assign categories of their fellow-citizens with differential voting power (or weights) according to the special position or concern individuals are perceived to have with regard to that issue. In the second stage, voters vote on the issue itself according to their substantive view and their votes are counted in the light of the differential weights assigned in the first round. We analyze formal and philosophical reasons that support the model.","2006-08-01","2024-04-01 16:51:04","2024-04-01 16:51:04","","103-127","","1","27","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEN8T8PF","journalArticle","2014","Calo-Blanco, Aitor","Fairness, freedom, and forgiveness in health care","Social Choice and Welfare","","1432-217X","10.1007/s00355-013-0774-7","https://doi.org/10.1007/s00355-013-0774-7","This paper focuses on the optimal allocation between health and lifestyle choices when society is concerned about forgiveness. Based on the idea of fresh starts, we construct a social ordering that permits us to make welfare assessments when it is acceptable to compensate individuals who have mismanaged their initial resources. Our social rule also allows for the inclusion of the fairness and responsibility approach in the model. Grounded on basic ethical principles, we propose the application of the minimax criterion to the existing distance between the individual’s final bundle and her ideal choice.","2014-06-01","2024-04-01 16:52:10","2024-04-01 16:52:10","","141-151","","1","43","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XEE3GRMJ","journalArticle","1991","Bossert, W.","On intra- and interpersonal utility comparisons","Social Choice and Welfare","","1432-217X","10.1007/BF00177659","https://doi.org/10.1007/BF00177659","In this paper, it is suggested to formulate assumptions on the comparability of individual utilities in terms of meaningful statements rather than using the usual way of defining such assumptions by means of certain sets of admissible transformations. Various assumptions involving intra- and interpersonal comparisons of utility levels and utility differences are introduced in terms of meaningful statements and compared to their “traditional” counterparts. It is shown that these two approaches are, in general, not equivalent. In a social choice framework, it is demonstrated that the difference between these approaches can be quite substantial: replacing the usual cardinal unit comparability assumption by a condition involving comparisons of utility differences which is similar in spirit turns a well-known characterization of the utilitarian social welfare functional into an impossibility theorem.","1991-07-01","2024-04-01 16:54:17","2024-04-01 16:54:17","","207-219","","3","8","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HZHZNGS","journalArticle","1985","Svensson, L. -G.","The utilitarian criterion, finite sensibility, and the weak majority preference principle","Social Choice and Welfare","","1432-217X","10.1007/BF00433764","https://doi.org/10.1007/BF00433764","This study is a further analysis of the approach taken by Yew-Kwang Ng to derive the utilitarian criterion. Specific for the model is that individual preferences are finitely sensible. In this framweork an analysis of the consequences on social preferences when different kinds of value premises are imposed is made. It is found that the utilitarian criterion is the unique consequence only for very special choices of the value premise. In addition, uniqueness requires the “underlying preferences” be cardinal. It is also found that finite sensibility induces approximate cardinalization of preferences.","1985-05-01","2024-04-01 16:55:05","2024-04-01 16:55:05","","23-35","","1","2","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3NECHSXU","journalArticle","1990","Xu, Y.","The Libertarian paradox: some further observations","Social Choice and Welfare","","1432-217X","10.1007/BF01376282","https://doi.org/10.1007/BF01376282","It is shown that the weak Pareto principle consists of two parts: Pareto Neutrality and Weak Pareto Unanimity. It is the Pareto Neutrality which is responsible for the Paradox of the Paretian Libertarian. The libertarianism condition can also be factorized into two parts: the Libertarian Invariance and the Libertarian Non-Imposition. It is the Libertarian Invariance which is responsible or the Paradox of the Paretian Libertarian. Under conditions of Unrestricted Domain, Pareto Neutrality and Libertarian Invariance, if we require a social preference to be acyclic, then(1) neither can individuals' personal rights be respected, nor can they be reversed;(2) neither can unanimous group rights be respected, nor can they be reversed. Consequently, the Paradox of the Paretian Libertarian is due to the inconsistent use of information contained in the weak Pareto principle and the libertarianism condition.","1990-12-01","2024-04-01 17:00:34","2024-04-01 17:00:34","","343-351","","4","7","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YPB89PVP","journalArticle","2011","Schwartz, Thomas","Social choice and individual values in the electronic republic","Social Choice and Welfare","","1432-217X","10.1007/s00355-011-0580-z","https://doi.org/10.1007/s00355-011-0580-z","Voting rules and internet value-aggregation procedures are subtly different in their purposes and, as a result, in certain of their Arrovian properties. This article draws some fundamental contrasts and poses some questions for further investigation.","2011-10-01","2024-04-01 17:01:30","2024-04-01 17:01:30","","621-632","","4","37","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
