"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"89GHLNEN","journalArticle","1990","Cowen, T.","Distribution in fixed and variable number problems","Social Choice and Welfare","","1432-217X","10.1007/BF01832920","https://doi.org/10.1007/BF01832920","Analogies are drawn between analyses of distribution where the number of individuals is fixed and the number of individuals varies (i.e., population theory); the theory of optimal population is fundamentally a problem of distribution. I examine the use of Harsanyi's veil of ignorance to evaluate different population patterns and whether ex ante preferences across uncertain outcomes are a useful source of moral information about outcomes. If we accept the premise that individuals should maximize expected welfare, Parfit's Repugnant Conclusion follows from very weak assumptions.","1990-03-01","2024-04-01 09:34:41","2024-04-01 09:34:41","","47-56","","1","7","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WN4GHUMB","journalArticle","1994","Kolm, S. -C.","The meaning of “fundamental preferences”","Social Choice and Welfare","","1432-217X","10.1007/BF00193804","https://doi.org/10.1007/BF00193804","We present the definition and meaning of “fundamental preferences” that are interpersonally comparable, ordinal and endemonistic. We also dispel a number of misunderstandings concerning them. In the article “A cause of preference is not on object of preference” (Soc Choice Welfare (1993) 10: 57–68), Professor Broome misinterprets the notion of “fundamental preferences” in confusing an observer's device for a psychological transformation of the observed (as if an economist studying wealth meant that he becomes wealthy, or if physicians had to be sick — this is well shown in his interpretation of a sentence of mine in p 65 where the crucial switch to the first person is his own). Considering a new set of variables that includes both structural parameters and former variables, hence variables of different kinds, assumes nothing new concerning the observed object; namely, it says neither that the consumption of bread becomes “a cause” of the taste for jam, nor that the individual likes (or dislikes) his own tastes, or anything like this (the accusation of “fantasy”). We shall suggest that certain other views receive a similar treatment in this paper. This misunderstanding is regrettable, since the consideration of fundamental preferences is unavoidable in social ethics, both when one has to compare all-encompassing individual situations, and for the preferences of the hypothetical identical individuals in an Original Position device where they evaluate at once what they might have and what they might beI wish to thank Professor Broome for comments on an earlier version of this note..","1994-07-01","2024-04-01 09:37:09","2024-04-01 09:37:09","","193-198","","3","11","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24L325GB","journalArticle","1999","Ng, Yew-Kwang","Utility, informed preference, or happiness: Following Harsanyi's argument to its logical conclusion","Social Choice and Welfare","","1432-217X","10.1007/s003550050140","https://doi.org/10.1007/s003550050140","Harsanyi (1997) argues that, for normative issues, informed preferences should be used, instead of actual preferences or happiness (or welfare). Following his argument allowing him to move from actual to informed preferences to its logical conclusion forces us to use happiness instead. Where informed preferences differ from happiness due to a pure concern for the welfare of others, using the former involves multiple counting. This “concerning effect” (non-affective altruism) differs from and could be on top of the “minding effect” (affective altruism) of being happy seeing or helping others to be happy. The concerning/minding effect should be excluded/included in social decision. Non-affective altruism is shown to exist in a compelling hypothetical example. Just as actual preferences should be discounted due to the effects of ignorance and spurious preferences, informed preferences should also be discounted due to some inborn or acquired tendencies to be irrational, such as placing insufficient weights on the welfare of the future, maximizing our biological fitness instead of our welfare. Harsanyi's old result on utilitarianism is however defended against criticisms in the last decade.","1999-02-01","2024-04-01 09:38:41","2024-04-01 09:38:41","","197-216","","2","16","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VAEEUHC","journalArticle","1994","Kolm, Serge-Christophe","Rejoinder to John Broome","Social Choice and Welfare","","1432-217X","10.1007/BF00193806","https://doi.org/10.1007/BF00193806","","1994-07-01","2024-04-01 09:39:15","2024-04-01 09:39:15","","203-204","","3","11","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6JPZKAZN","journalArticle","2004","Weikard, Hans-Peter","On the economics of basic liberties","Social Choice and Welfare","","1432-217X","10.1007/s00355-003-0286-y","https://doi.org/10.1007/s00355-003-0286-y","The paper discusses the problem of initial assignments of rights. An attempt is made to characterise a system of rights in the spirit of Rawls’s first principle of justice according to which society should adopt the most extensive system of equal basic liberties.","2004-02-01","2024-04-01 09:41:12","2024-04-01 09:41:12","","267-280","","1","22","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGGXTK9G","journalArticle","1992","Ng, Yew-Kwang","Utilitarianism and interpersonal comparison","Social Choice and Welfare","","1432-217X","10.1007/BF00177666","https://doi.org/10.1007/BF00177666","Beliefs in the impossibility of interpersonal comparison of welfare and the unacceptability of utilitarianism are based on a non-materialist solution to the theory of mind, i.e. on the existence of a soul. The compellingness of the theory of evolution and some discoveries in brain sciences render (philosophical) materialism very persuasive. The acceptance of materialism implies the negation of free will, non-significance of the self (no substantial reason to care much more about the welfare of one's own future self than the welfare of others), possibility of interpersonal comparison of welfare, compellingness of utilitarianism, and the possibility of conscious machines. Searle's argument on the impossibility of rigorous social sciences is however rejected.","1992-01-01","2024-04-01 09:41:51","2024-04-01 09:41:51","","1-15","","1","9","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TZFTDZVP","journalArticle","1994","Broome, John","Reply to Kolm","Social Choice and Welfare","","1432-217X","10.1007/BF00193805","https://doi.org/10.1007/BF00193805","This paper mentions some of the points of agreement between Serge-Christophe Kolm and me, and explains the one point of disagreement. It also explains why I concentrated on this one point.","1994-07-01","2024-04-01 09:43:14","2024-04-01 09:43:14","","199-201","","3","11","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66YVUVFG","journalArticle","2012","Lambert, Peter J.","An interview with Serge-Christophe Kolm","Social Choice and Welfare","","1432-217X","10.1007/s00355-010-0518-x","https://doi.org/10.1007/s00355-010-0518-x","","2012-01-01","2024-04-01 16:22:11","2024-04-01 16:22:11","","59-83","","1","38","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZAQF56KF","journalArticle","2012","Frey, Bruno S.; Stutzer, Alois","The use of happiness research for public policy","Social Choice and Welfare","","1432-217X","10.1007/s00355-011-0629-z","https://doi.org/10.1007/s00355-011-0629-z","Research on happiness tends to follow a “benevolent dictator” approach where politicians pursue people’s happiness. This paper takes an antithetic approach based on the insights of public choice theory. First, we inquire how the results of happiness research may be used to improve the choice of institutions. Second, we show that the policy approach matters for the choice of research questions and the kind of knowledge happiness research aims to provide. Third, we emphasize that there is no shortcut to an optimal policy maximizing some happiness indicator or social welfare function since governments have an incentive to manipulate this indicator.","2012-04-01","2024-04-01 16:23:43","2024-04-01 16:23:43","","659-674","","4","38","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5L8CMV3C","journalArticle","1996","Harsanyi, John C.","Utilities, preferences, and substantive goods","Social Choice and Welfare","","1432-217X","10.1007/s003550050057","https://doi.org/10.1007/s003550050057","People’s utility levels are meant to be measures of their well-being. Early utilitarians defined them in terms of people’s happiness. Modern economics defines them in terms of people’s actual preferences. But in ethics they have to be defined in terms of people’s informed preferences. I shall discuss the relationship between people’s desires and preferences, and that between their reasoned and unreasoned preferences. I shall argue that people’s basic desires are much the same, whereas their preferences are often very different. Finally, I shall argue, contrary to Scanlon’s theory, that the things that are good for us are beneficial to us ultimately because they satisfy our biological and psychological needs and our personal interests.","1996-12-01","2024-04-01 16:24:47","2024-04-01 16:24:47","","129-145","","1","14","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72JEHXIK","journalArticle","2004","Barrett, Richard; Petron-Brunel, Anne; Salles, Maurice","A new approach to rights in social choice theory which incorporates utilitarianism","Social Choice and Welfare","","1432-217X","10.1007/s00355-003-0274-2","https://doi.org/10.1007/s00355-003-0274-2","The paper axiomatises a generalised utilitarian aggregation rule, under which different weights are assigned to utilities depending on the different rights involved. The relationship between actions, rights and the evaluation of utilities is investigated. Application is made to a famous example, Edwin-Angelina-the Judge, which appears in the social choice literature.","2004-02-01","2024-04-01 16:25:50","2024-04-01 16:25:50","","17-28","","1","22","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNQTKJ6X","journalArticle","2001","Ng, Siang; Ng, Yew-Kwang","Welfare-reducing growth despite individual and government optimization","Social Choice and Welfare","","1432-217X","10.1007/s003550000081","https://doi.org/10.1007/s003550000081","In the presence of substantial relative-income effects and environmental disruption effects, economic growth may be welfare-reducing even if each and all individuals are optimizing and eagerly trying to make more money and the government also maximizes the welfare of individuals by the choice of income-tax rate and the ratio devoted to the abatement of environmental disruption. Welfare-reducing growth may be avoided if environmental disruption may be directed taxed at low costs and/or government spending on public goods is not environmentally disruptive.","2001-07-01","2024-04-01 16:26:49","2024-04-01 16:26:49","","497-506","","3","18","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZRTS9Z2","journalArticle","2009","Pivato, Marcus","Twofold optimality of the relative utilitarian bargaining solution","Social Choice and Welfare","","1432-217X","10.1007/s00355-008-0313-0","https://doi.org/10.1007/s00355-008-0313-0","Given a bargaining problem, the relative utilitarian (RU) solution maximizes the sum total of the bargainer’s utilities, after having first renormalized each utility function to range from zero to one. We show that RU is “optimal” in two very different senses. First, RU is the maximal element (over the set of all bargaining solutions) under any partial ordering which satisfies certain axioms of fairness and consistency; this result is closely analogous to the result of Segal (J Polit Econ 108(3):569–589, 2000). Second, RU offers each person the maximum expected utility amongst all rescaling-invariant solutions, when it is applied to a random sequence of future bargaining problems generated using a certain class of distributions; this is recalls the results of Harsanyi (J Polit Econ 61:434–435, 1953) and Karni (Econometrica 66(6):1405–1415, 1998).","2009-01-01","2024-04-01 16:27:58","2024-04-01 16:27:58","","79-92","","1","32","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S87A3JHP","journalArticle","2017","Yamamura, Hirofumi","Interpersonal comparison necessary for Arrovian aggregation","Social Choice and Welfare","","1432-217X","10.1007/s00355-017-1048-6","https://doi.org/10.1007/s00355-017-1048-6","While studies of social welfare functionals have shown that some interpersonal comparability such as ordinal and level comparability and cardinal and unit comparability resolves Arrow’s impossibility theorem, the kind of information necessary to solve this issue remains unclear. To address this shortcoming in the body of knowledge on this topic, the present study captures and then characterizes the features of informational structures that make available social welfare functionals satisfying Strong Pareto, Anonymity, and Independence of Irrelevant Alternatives. We know from this characterization that if utility levels are not interpersonally comparable, then transformed utility functions by a certain transformation need to be cardinal and unit comparable.","2017-06-01","2024-04-01 16:33:36","2024-04-01 16:33:36","","37-64","","1","49","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3U385WUZ","journalArticle","2005","Bradley, Richard","Bayesian utilitarianism and probability homogeneity","Social Choice and Welfare","","1432-217X","10.1007/s00355-003-0300-4","https://doi.org/10.1007/s00355-003-0300-4","This paper investigates, within the axiomatic framework of Jeffrey-Bolker decision theory, two kinds of conditions and the relation between them: (1) The Utilitarian condition that social rankings of prospects be representable by an expected utility function that is a weighted sum of the expected utility functions representing individual rankings; and (2) Homogeneity conditions on the probabilities and preferences of individuals. In particular, we show that identity of individuals’ probabilities is necessary and sufficient for the Utilitarian condition to hold and that the homogeneity of individuals’ probabilities can be derived from a Pareto condition on the relation between individual and social rankings, provided that these rankings are separable in a particular sense.","2005-04-01","2024-04-01 16:34:50","2024-04-01 16:34:50","","221-251","","2","24","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FYG9UPV","journalArticle","1990","Segerstrom, P. S.","Moral efficiency","Social Choice and Welfare","","1432-217X","10.1007/BF01560578","https://doi.org/10.1007/BF01560578","This paper presents a new criterion for social choice which goes beyond pure efficiency considerations. Members of society are required to evaluate public policies impartially by putting themselves in other people's shoes. The impartial preferences that are constructed by means of these thought-experiments are used to rule out some unfair Pareto efficient public policies from consideration. Implications of this “moral efficiency” criterion are illustrated using a pure exchange society, a simple production society with redistributive income taxation and a medical research society. The relationship between the moral efficiency criterion and alternative theories of social choice is also discussed.","1990-04-01","2024-04-01 16:35:44","2024-04-01 16:35:44","","109-129","","2","7","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EI77RZT2","journalArticle","1993","Weymark, John A.","Harsanyi's Social Aggregation Theorem and the Weak Pareto Principle","Social Choice and Welfare","","1432-217X","10.1007/BF00182506","https://doi.org/10.1007/BF00182506","Harsanyi's Social Aggregation Theorem is concerned with the aggregation of individual preferences defined on the set of lotteries generated from a finite set of basic prospects into a social preference. These preferences are assumed to satisfy the expected utility hypothesis and are represented by von Neumann-Morgenstern utility functions. Harsanyi's Theorem says that if Pareto Indifference is satisfied, then the social utility function must be an affine combination of the individual utility functions. This article considers the implications for Harsanyi's Theorem of replacing Pareto Indifference with Weak Pareto.","1993-07-01","2024-04-01 16:36:46","2024-04-01 16:36:46","","209-221","","3","10","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39CUT27W","journalArticle","2013","Ahlert, Marlies; Funke, Katja; Schwettmann, Lars","Thresholds, productivity, and context: an experimental study on determinants of distributive behaviour","Social Choice and Welfare","","1432-217X","10.1007/s00355-012-0652-8","https://doi.org/10.1007/s00355-012-0652-8","In our questionnaire experiment we confronted students of economics, law and medicine with distributive situations in different contexts characterised by two features inspired by medical decision problems: First, individual threshold values indicate minimal amounts needed by potential recipients of the given resource to obtain positive benefits. Second, recipients differ with respect to their ability to benefit from the given quantity, which indicates the productivity of the resource. Allocations offered in the questionnaire are theoretically grounded. However, respondents were also able to make their own proposals. Well-known allocation rules, but also new procedures, were witnessed. Two multistage principles were most prominent: After distributing all minimal amounts, in a second step one aims for resource-equality while the other principle in the second step demands the maximisation of the sum of payoffs. Besides threshold values and productivity, the acceptance of different principles also depended on the field of study, the degree of scarcity of the resources and the sequential order of situations.","2013-04-01","2024-04-01 16:37:41","2024-04-01 16:37:41","","957-984","","4","40","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYH2PW5A","journalArticle","1988","Hammond, P. J.","Consequentialist demographic norms and parenting rights","Social Choice and Welfare","","1432-217X","10.1007/BF00735757","https://doi.org/10.1007/BF00735757","This paper extends the author's recent work on dynamically consistent consequentialist social norms for an unrestricted domain of decision trees with risk to trees in which the population is a variable consequence — i.e., endogenous. Given a form of ethical liberalism and ethical irrelevance of distant ancestors, classical utilitarianism is implied (provided also that a weak continuity condition is met). The “repugnant conclusion” that having many poor people may be desirable can be avoided by denying that individuals' interests extend to the circumstances of their birth. But it is better avoided by recognizing that potential parents have legitimate interests concerning the sizes of their families.","1988-06-01","2024-04-01 16:40:57","2024-04-01 16:40:57","","127-145","","2","5","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3J66EWXI","journalArticle","2006","Bavetta, Sebastiano; Peragine, Vitorocco","Measuring autonomy freedom","Social Choice and Welfare","","1432-217X","10.1007/s00355-005-0027-5","https://doi.org/10.1007/s00355-005-0027-5","In the measurement of autonomy freedom, the admissible potential preference relations are elicited by means of the concept of ‘reasonableness’. In this paper we argue for an alternative criterion based on information about the decision maker’s ‘awareness’ of his available opportunities. We argue that such an interpretation of autonomy fares better than that based on reasonableness. We then introduce some axioms that capture this intuition and study their logical implications. In the process, a new measure of autonomy freedom is characterized, which generalizes some of the measures so far constructed in the literature.","2006-01-01","2024-04-01 16:42:05","2024-04-01 16:42:05","","31-45","","1","26","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HD6Q5D2X","journalArticle","2004","Sugden, Robert","Living with unfairness: The limits of equal opportunity in a market economy","Social Choice and Welfare","","1432-217X","10.1007/s00355-003-0283-1","https://doi.org/10.1007/s00355-003-0283-1","Equality of opportunity is often presented as a criterion which reconciles egalitarianism with principles of freedom and responsibility. This paper distinguishes between the principle of ‘starting-line equality’, which requires that everyone’s initial opportunities, assessed in relation to what is publicly known ex ante, are equal, and the principle that equal efforts should yield equal ex post rewards. It argues that the first principle is compatible with allocation of resources through markets but, because of the division of knowledge, the second is not. If we want the opportunities which markets give us, we have to accept ex post unfairness.","2004-02-01","2024-04-01 16:43:13","2024-04-01 16:43:13","","211-236","","1","22","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
